;sms [db];perc [min];mobilnet [GB]
7095867;81;111;17.1
9729948;21;99;6.5
9733673;51;14;1.4
7639197;13;30;9.9
9303339;48;424;10.6
2077939;4;170;9.8
4435563;38;6;13.7
6859900;58;305;2.1
5220256;93;489;6.3
6882338;28;475;9.4
5444781;25;5;19.1
8182861;96;216;8.6
1756523;45;141;9.4
1664776;42;247;12.5
4087643;88;65;4.8
1677351;30;148;7.7
5157091;49;338;12
7733810;27;262;13.7
6637318;99;302;2.3
5921024;18;383;18.9
8090569;66;499;19.6
1005173;75;172;10.1
2156485;28;79;12.1
7684743;42;21;10.8
5260291;63;444;5.9
6559196;98;472;11.3
7366787;21;343;5.4
3835035;58;231;9.4
5897811;55;204;4.3
5812236;3;308;12.7
3746344;38;319;9
2363425;26;153;10.3
6354135;82;188;2.8
1614977;50;229;12.3
8884506;72;207;5.4
5880714;96;207;7.8
8361932;51;485;0.2
5410376;4;238;15.3
9755951;8;459;8.3
5974055;75;79;10.5
